Version	GMID-X v 1.2
Chemistry Kit	Investigator_Panels_v9x
BinSet Name	Investigator_Bins_v9x		
Panel Name	Argus_X12_Panels_v3			
Marker Name	AMEL			
43.2	265.0	0.5	0.5	
44.2	269.0	0.5	0.5	
45.2	273.0	0.5	0.5	
46.2	277.0	0.5	0.5	
Marker Name	DXS10079			
14	290.0	0.5	0.5	
15	294.0	0.5	0.5	
16	298.0	0.5	0.5	
17	302.0	0.5	0.5	
18	306.0	0.5	0.5	
19	310.0	0.5	0.5	
20	314.0	0.5	0.5	
21	318.0	0.5	0.5	
22	322.0	0.5	0.5	
23	326.0	0.5	0.5	
25	334.0	0.5	0.5	
Marker Name	HPRTB			
8	139.0	0.5	0.5	virtual
9	143.0	0.5	0.5	
10	147.0	0.5	0.5	
11	151.0	0.5	0.5	
12	155.0	0.5	0.5	
13	159.0	0.5	0.5	
14	163.0	0.5	0.5	
15	167.0	0.5	0.5	
16	171.0	0.5	0.5	
17	175.0	0.5	0.5	
Marker Name	DXS10148			
13.3	210.0	0.5	0.5	
18	227.0	0.5	0.5	
19	231.0	0.5	0.5	
20	235.0	0.5	0.5	
21	239.0	0.5	0.5	
22.1	244.0	0.5	0.5	
23	247.0	0.5	0.4	virtual
23.1	248.0	0.4	0.5	
24	251.0	0.5	0.4	virtual
24.1	252.0	0.4	0.5	
25.1	256.0	0.5	0.5	
26.1	260.0	0.5	0.5	
27.1	264.0	0.5	0.5	
28.1	268.0	0.5	0.5	
29.1	272.0	0.5	0.5	
30.1	276.0	0.5	0.5	
31	279.0	0.5	0.5	
38.1	308.0	0.5	0.5
