Version	GMID-X v 1.2
Chemistry Kit	Investigator_Panels_v9x
BinSet Name	Investigator_Bins_v9xPanel Name	Argus_X12_QS_Panels_v3			
Marker Name	QS1			
35.1	362.0	0.4	0.4	virtual
35.2	363.0	0.4	0.5	virtual
36	365.0	0.5	0.5	
36.2	367.0	0.5	0.5	virtual
37	369.0	0.5	0.5	virtual
37.2	371.0	0.5	0.5	
39.2	379.0	0.5	0.5	
Marker Name	DXS7423			
8	133.0	0.5	0.5	virtual
10	141.0	0.5	0.5	virtual
12	149.0	0.5	0.5	
13	153.0	0.5	0.5	
13.2	155.0	0.4	0.4	virtual
14	157.0	0.5	0.5	
15	161.0	0.5	0.5	
16	165.0	0.5	0.5	
17	169.0	0.5	0.5	
18	173.0	0.4	0.4	
Marker Name	DXS10146			
21	175.0	0.5	0.5	
22	179.0	0.5	0.5	virtual
23	183.0	0.5	0.5	
24	187.0	0.5	0.5	
25	191.0	0.5	0.5	
26	195.0	0.5	0.5	
26.3	198.0	0.5	0.4	virtual
27	199.0	0.4	0.5	
27.3	202.0	0.5	0.4	virtual
28	203.0	0.4	0.4	
28.1	204.0	0.4	0.4	virtual
28.2	205.0	0.4	0.4	virtual
28.3	206.0	0.4	0.4	virtual
29	207.0	0.4	0.5	
29.2	209.0	0.5	0.5	virtual
30	211.0	0.5	0.5	
31	215.0	0.5	0.5	
31.3	218.0	0.5	0.4	virtual
32	219.0	0.4	0.5	
32.2	221.0	0.5	0.5	
33	223.0	0.5	0.5	
33.2	225.0	0.5	0.5	
34	227.0	0.5	0.4	
34.1	228.0	0.4	0.4	virtual
34.2	229.0	0.4	0.5	
35	231.0	0.5	0.5	virtual
35.2	233.0	0.5	0.5	
37.2	241.0	0.5	0.5	virtual
38.2	245.0	0.5	0.5	virtual
39.2	249.0	0.5	0.5	
40.2	253.0	0.5	0.4	
40.3	254.0	0.4	0.4	virtual
41	255.0	0.4	0.5	virtual
41.2	257.0	0.5	0.5	
42.1	260.0	0.5	0.4	virtual
42.2	261.0	0.4	0.5	
43.2	265.0	0.5	0.5	
44.2	269.0	0.5	0.4	
44.3	270.0	0.4	0.5	virtual
45.2	273.0	0.5	0.5	
46.2	277.0	0.5	0.5	
47.2	281.0	0.5	0.5	
Marker Name	DXS10079			
14	290.0	0.5	0.5	
15	294.0	0.5	0.5	
16	298.0	0.5	0.5	
17	302.0	0.5	0.5	
18	306.0	0.5	0.5	
19	310.0	0.5	0.5	
20	314.0	0.5	0.4	
20.1	315.0	0.4	0.5	virtual
20.3	317.0	0.5	0.4	virtual
21	318.0	0.4	0.5	
21.2	320.0	0.5	0.5	virtual
22	322.0	0.5	0.5	
23	326.0	0.5	0.5	
24	330.0	0.5	0.5	virtual
25	334.0	0.5	0.5	
27	342.0	0.5	0.5	
Marker Name	HPRTB			
6	134.0	0.5	0.5	virtual
7	138.0	0.5	0.5	virtual
8	142.0	0.5	0.5	
9	146.0	0.5	0.5	
10	150.0	0.5	0.5	
11	154.0	0.5	0.5	
11.2	156.0	0.5	0.5	virtual
12	158.0	0.5	0.5	
12.2	160.0	0.5	0.5	virtual
13	162.0	0.5	0.5	
14	166.0	0.5	0.5	
15	170.0	0.5	0.5	
16	174.0	0.5	0.5	
17	178.0	0.5	0.5	
18	182.0	0.5	0.5	virtual
19	186.0	0.5	0.5	virtual
Marker Name	DXS10148			
13.3	206.0	0.5	0.4	
14	207.0	0.4	0.5	virtual
16	215.0	0.5	0.5	
17	219.0	0.5	0.5	
18	223.0	0.5	0.5	
18.2	225.0	0.5	0.5	virtual
19	227.0	0.5	0.4	
19.1	228.0	0.4	0.5	virtual
20	231.0	0.5	0.4	
20.1	232.0	0.4	0.5	virtual
21	235.0	0.5	0.5	
21.1	236.0	0.4	0.5	virtual
22	239.0	0.5	0.4	virtual
