Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
BinSet Name	PowerPlex_Fusion_6C_Bins_IDX_v1.2			
Panel Name	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
Marker Name	AMEL			
20.2	188.25	0.5	0.5	virtual
21	190.29	0.5	0.4	
21.1	191.31	0.4	0.4	virtual
21.2	192.33	0.4	0.5	virtual
22	194.36	0.5	0.5	
22.2	196.4	0.5	0.5	virtual
23	198.43	0.5	0.5	
23.2	200.48	0.5	0.5	virtual
24	202.53	0.5	0.5	
24.2	204.57	0.5	0.5	virtual
25	206.61	0.5	0.5	
26	210.67	0.5	0.5	
27	214.77	0.5	0.5	
Marker Name	D2S1338			
10	222.97	0.5	0.5	
11	227.02	0.5	0.5	virtual
12	231.07	0.5	0.5	
13	235.16	0.5	0.5	virtual
14	239.25	0.5	0.5	
15	243.32	0.5	0.5	
16	247.41	0.5	0.5	
17	251.53	0.5	0.5	
18	255.62	0.5	0.5	
18.3	258.71	0.5	0.4	virtual
19	259.74	0.4	0.5	
19.3	262.82	0.5	0.4	virtual
20	263.84	0.4	0.5	
21	267.93	0.5	0.5	
22	271.98	0.5	0.5	
22.2	274	0.5	0.5	virtual
23	276.02	0.5	0.5	
23.2	278.01	0.5	0.4	virtual
23.3	279.01	0.4	0.4	virtual
24	280	0.4	0.5	
24.2	281.99	0.5	0.5	virtual
25	283.97	0.5	0.5	
26	287.91	0.5	0.5	
27	291.91	0.5	0.5	
28	295.87	0.5	0.5	
29	299.84	0.5	0.5	virtual
Marker Name	CSF1PO			
5	317.74	0.5	0.5	
6	321.81	0.5	0.5	
7	325.86	0.5	0.5	
7.3	328.96	0.5	0.4	virtual
8	329.99	0.4	0.4	
8.1	331.01	0.4	0.5	virtual
8.3	333.04	0.5	0.4	virtual
9	334.06	0.4	0.4	
9.1	335.08	0.4	0.5	virtual
10	338.14	0.5	0.4	
10.1	339.16	0.4	0.4	virtual
10.2	340.19	0.4	0.4	virtual
10.3	341.21	0.4	0.4	virtual
11	342.23	0.4	0.4	
11.1	343.25	0.4	0.5	virtual
11.3	345.29	0.5	0.4	virtual
12	346.31	0.4	0.4	
12.1	347.33	0.4	0.5	virtual
12.3	349.36	0.5	0.4	virtual
13	350.37	0.4	0.5	
13.3	353.38	0.5	0.4	virtual
14	354.38	0.4	0.5	
15	358.38	0.5	0.5	
16	362.39	0.5	0.5	
Marker Name	Penta D			
2.2	379.13	0.5	0.5	
3.2	384.24	0.5	0.5	
5	392.42	0.5	0.5	
6	397.52	0.5	0.5	
6.4	401.54	0.5	0.4	virtual
7	402.54	0.4	0.5	
7.4	406.55	0.5	0.4	virtual
8	407.55	0.4	0.5	
8.2	409.54	0.5	0.5	virtual
9	412.53	0.5	0.5	
9.2	414.53	0.5	0.5	virtual
9.4	416.53	0.5	0.4	virtual
10	417.53	0.4	0.5	
11	422.56	0.5	0.4	
11.1	423.58	0.4	0.4	virtual
11.2	424.59	0.4	0.5	virtual
12	427.64	0.5	0.4	
12.1	428.67	0.4	0.4	virtual
12.2	429.71	0.4	0.5	virtual
13	432.81	0.5	0.5	
13.4	436.95	0.5	0.4	virtual
14	437.98	0.4	0.4	
14.1	439.01	0.4	0.5	virtual
14.4	442.12	0.5	0.4	virtual
15	443.15	0.4	0.5	
16	448.32	0.5	0.5	
17	453.43	0.5	0.5	
18	458.61	0.5	0.5	virtual
Marker Name	TH01			
3	67.11	0.5	0.5	
4	71.54	0.5	0.5	
5	75.91	0.5	0.5	
5.3	79.1	0.5	0.4	virtual
6	80.16	0.4	0.4	
6.1	81.23	0.4	0.5	virtual
6.3	83.36	0.5	0.4	virtual
7	84.42	0.4	0.4	
7.1	85.49	0.4	0.5	virtual
7.3	87.62	0.5	0.4	virtual
8	88.68	0.4	0.5	
8.3	91.85	0.5	0.4	virtual
9	92.91	0.4	0.4	
9.1	93.97	0.4	0.5	virtual
9.3	96.08	0.5	0.4	
10	97.14	0.4	0.5	
10.3	100.34	0.5	0.4	virtual
11	101.41	0.4	0.5	
13.3	113.41	0.5	0.5	
Marker Name	vWA			
10	125.47	0.5	0.5	
11	129.78	0.5	0.5	
12	133.93	0.5	0.5	
13	138.09	0.5	0.5	
14	142.25	0.5	0.5	
15	146.43	0.5	0.5	
15.2	148.5	0.5	0.5	virtual
16	150.57	0.5	0.4	
16.1	151.61	0.4	0.5	virtual
17	154.72	0.5	0.5	
18	158.88	0.5	0.5	
18.2	160.93	0.5	0.4	virtual
18.3	161.95	0.4	0.4	virtual
19	162.97	0.4	0.5	
20	167.06	0.5	0.5	
21	171.12	0.5	0.5	
22	175.17	0.5	0.5	
23	179.26	0.5	0.5	
24	183.31	0.5	0.5	
25	187.38	0.5	0.5	virtual
Marker Name	D21S11			
23.2	201.84	0.5	0.4	virtual
23.3	202.85	0.4	0.4	virtual
24	203.85	0.4	0.5	
24.2	205.89	0.5	0.4	
24.3	206.88	0.4	0.4	virtual
25	207.87	0.4	0.5	
25.2	209.92	0.5	0.4	
25.3	210.92	0.4	0.4	virtual
26	211.91	0.4	0.5	
26.2	213.97	0.5	0.5	virtual
27	216.02	0.5	0.4	
27.1	217.03	0.4	0.4	virtual
27.2	218.04	0.4	0.5	virtual
28	220.05	0.5	0.4	
28.1	221.08	0.4	0.4	virtual
28.2	222.1	0.4	0.4	
28.3	223.11	0.4	0.4	virtual
29	224.11	0.4	0.4	
29.1	225.12	0.4	0.4	virtual
29.2	226.13	0.4	0.4	
29.3	227.17	0.4	0.4	virtual
30	228.2	0.4	0.4	
30.1	229.21	0.4	0.4	virtual
30.2	230.22	0.4	0.4	
30.3	231.26	0.4	0.4	virtual
31	232.29	0.4	0.4	
31.1	233.29	0.4	0.4	virtual
31.2	234.28	0.4	0.4	
31.3	235.33	0.4	0.4	virtual
32	236.38	0.4	0.4	
32.1	237.4	0.4	0.4	virtual
32.2	238.42	0.4	0.4	
32.3	239.48	0.4	0.4	virtual
33	240.53	0.4	0.4	
33.1	241.53	0.4	0.4	virtual
33.2	242.52	0.4	0.4	
33.3	243.55	0.4	0.4	virtual
34	244.57	0.4	0.4	
34.1	245.59	0.4	0.4	virtual
34.2	246.6	0.4	0.4	
34.3	247.63	0.4	0.4	virtual
35	248.65	0.4	0.4	
35.1	249.69	0.4	0.4	virtual
35.2	250.72	0.4	0.5	
36	252.79	0.5	0.4	
36.1	253.8	0.4	0.4	virtual
36.2	254.82	0.4	0.5	virtual
37	256.84	0.5	0.5	
37.2	258.9	0.5	0.5	virtual
38	260.96	0.5	0.5	
38.2	263	0.5	0.5	virtual
39	265.03	0.5	0.5	virtual
Marker Name	D7S820			
5	269.7	0.5	0.5	
5.2	271.75	0.5	0.5	virtual
6	273.79	0.5	0.5	
6.3	276.82	0.5	0.4	virtual
7	277.83	0.4	0.4	
7.1	278.83	0.4	0.5	virtual
7.3	280.84	0.5	0.4	virtual
8	281.84	0.4	0.4	
8.1	282.84	0.4	0.4	virtual
8.2	283.84	0.4	0.4	virtual
8.3	284.83	0.4	0.4	virtual
9	285.83	0.4	0.4	
9.1	286.83	0.4	0.4	virtual
9.2	287.84	0.4	0.4	virtual
9.3	288.84	0.4	0.4	virtual
10	289.84	0.4	0.4	
10.1	290.85	0.4	0.5	virtual
10.3	292.86	0.5	0.4	virtual
11	293.87	0.4	0.4	
11.1	294.87	0.4	0.4	virtual
11.2	295.87	0.4	0.4	virtual
11.3	296.86	0.4	0.4	virtual
12	297.86	0.4	0.4	
12.1	298.88	0.4	0.5	virtual
12.3	300.91	0.5	0.4	virtual
13	301.92	0.4	0.4	
13.1	302.93	0.4	0.5	virtual
14	305.96	0.5	0.4	
14.1	306.98	0.4	0.5	virtual
15	310.02	0.5	0.5	
16	314.1	0.5	0.5	
Marker Name	D5S818			
5	318.8	0.5	0.5	virtual
6	322.9	0.5	0.5	
7	326.97	0.5	0.5	
8	331.09	0.5	0.5	
9	335.18	0.5	0.5	
10	339.26	0.5	0.4	
