Version	GMID-X v 1.0			
Chemistry Kit	Yfiler_Plus_v3			
BinSet Name	Yfiler_Plus_Bins_v3			
Panel Name	Yfiler_Plus_Panel_v3			
Marker Name	DYS576			
20.2	316	0.45	0.45	virtual
20.3	317	0.45	0.45	virtual
20.4	318	0.45	0.5	virtual
21	320	0.5	0.5	
21.2	322	0.5	0.5	virtual
21.4	324	0.5	0.5	virtual
22	326	0.5	0.5	
23	332	0.5	0.5	
24	338	0.5	0.5	
25	344	0.5	0.5	virtual
Marker Name	DYS391			
4	350	0.5	0.5	virtual
5	354	0.5	0.5	
6	358	0.5	0.5	
7	362	0.5	0.5	
8	366	0.5	0.5	
8.3	369	0.5	0.4	virtual
9	370	0.5	0.5	
10	374	0.5	0.5	
11	378	0.5	0.5	
12	382	0.5	0.5	
13	386	0.5	0.5	
14	390	0.5	0.5	
15	394	0.5	0.5	
16	398	0.5	0.5	
17	402	0.5	0.5	virtual
Marker Name	DYS456			
9	72	0.5	0.5	virtual
10	76	0.5	0.5	
11	81	0.5	0.5	
12	85	0.5	0.5	
13	89	0.5	0.5	
14	94	0.5	0.5	
15	98	0.5	0.5	
15.3	101	0.5	0.4	virtual
16	102	0.5	0.5	
16.1	103	0.4	0.5	virtual
17	106	0.5	0.5	
18	110	0.5	0.5	
18.3	113	0.5	0.4	virtual
19	114	0.5	0.5	
20	118	0.5	0.5	
21	122	0.5	0.5	
22	126	0.5	0.5	
23	130	0.5	0.5	
24	134	0.5	0.5	
Marker Name	DYS390			
16	140	0.5	0.5	virtual
17	144	0.5	0.5	
18	148	0.5	0.5	
19	152	0.5	0.5	
20	156	0.5	0.5	
21	160	0.5	0.5	
21.1	161	0.4	0.5	virtual
22	164	0.5	0.5	
23	168	0.5	0.5	
24	172	0.5	0.5	
24.3	175	0.5	0.4	virtual
25	176	0.5	0.5	
26	180	0.5	0.5	
27	184	0.5	0.5	
28	188	0.5	0.5	
29	192	0.5	0.5	
30	196	0.5	0.5	virtual
Marker Name	DYS438			
5	203	0.5	0.5	virtual
6	208	0.5	0.5	
7	213	0.5	0.5	
8	218	0.5	0.5	
8.2	220	0.5	0.5	virtual
9	223	0.5	0.5	
9.2	225	0.5	0.5	virtual
10	228	0.5	0.5	
11	233	0.5	0.5	
11.2	235	0.5	0.5	virtual
12	238	0.5	0.5	
13	243	0.5	0.5	
13.2	245	0.5	0.5	virtual
14	248	0.5	0.5	
14.1	249	0.4	0.5	virtual
15	253	0.5	0.5	
16	258	0.5	0.5	
17	263	0.5	0.5	virtual
Marker Name	DYS392			
3	271	0.5	0.5	virtual
4	274	0.5	0.5	
5	277	0.5	0.5	
6	280	0.5	0.5	
7	283	0.5	0.5	
8	286	0.5	0.5	
9	289	0.5	0.5	
10	292	0.5	0.5	
10.2	294	0.5	0.4	virtual
11	295	0.5	0.5	
11.1	296	0.4	0.45	virtual
11.2	297	0.45	0.4	virtual
12	298	0.5	0.5	
12.2	300	0.5	0.4	virtual
13	301	0.5	0.5	
13.1	302	0.4	0.45	virtual
13.2	303	0.45	0.4	virtual
14	304	0.5	0.5	
14.1	305	0.4	0.45	virtual
14.2	306	0.45	0.4	virtual
15	307	0.5	0.5	
16	310	0.5	0.5	
17	313	0.5	0.5	
18	316	0.5	0.5	
19	319	0.5	0.5	
20	322	0.5	0.5	
21	325	0.5	0.5	virtual
Marker Name	DYS518			
31	329	0.5	0.5	virtual
32	333	0.5	0.5	
33	337	0.5	0.5	
34	341	0.5	0.5	
34.3	344	0.5	0.4	virtual
35	345	0.5	0.5	
35.2	347	0.5	0.5	virtual
36	349	0.5	0.5	
37	353	0.5	0.5	
37.1	354	0.4	0.45	virtual
37.2	355	0.45	0.5	virtual
38	357	0.5	0.5	
38.2	359	0.5	0.5	virtual
39	361	0.5	0.5	
39.2	363	0.5	0.5	virtual
40	365	0.5	0.5	
40.2	367	0.5	0.5	virtual
41	369	0.5	0.5	
42	373	0.5	0.5	
43	377	0.5	0.5	
44	381	0.5	0.5	
45	385	0.5	0.5	
46	389	0.5	0.5	
47	393	0.5	0.5	
48	397	0.5	0.5	
49	401	0.5	0.5	
50	405	0.5	0.5	virtual
Marker Name	DYS570			
9	95	0.5	0.5	virtual
10	99	0.5	0.5	
11	103	0.5	0.5	
12	107	0.5	0.5	
13	111	0.5	0.5	
14	115	0.5	0.5	
15	119	0.5	0.5	
16	123	0.5	0.5	
17	127	0.5	0.5	
18	131	0.5	0.5	
19	135	0.5	0.5	
19.3	138	0.5	0.4	virtual
20	139	0.5	0.5	
21	143	0.5	0.5	
22	147	0.5	0.5	
23	151	0.5	0.5	
24	155	0.5	0.5	
25	159	0.5	0.5	
26	163	0.5	0.5	
27	167	0.5	0.5	virtual
Marker Name	DYS437			
9	174	0.5	0.5	virtual
10	178	0.5	0.5	
11	182	0.5	0.5	
12	186	0.5	0.5	
12.1	187	0.4	0.5	virtual
13	190	0.5	0.5	
13.1	191	0.4	0.45	virtual
13.2	192	0.45	0.5	virtual
14	194	0.5	0.5	
15	198	0.5	0.5	
16	202	0.5	0.5	
17	206	0.5	0.5	
18	210	0.5	0.5	
18.2	212	0.5	0.5	virtual
19	214	0.5	0.5	virtual
Marker Name	DYS385 a/b			
5	221	0.5	0.5	virtual
6	225	0.5	0.5	
7	229	0.5	0.5	
8	233	0.5	0.5	
9	237	0.5	0.5	
9.2	239	0.5	0.5	virtual
10	241	0.5	0.5	
10.2	243	0.5	0.5	virtual
11	245	0.5	0.5	
11.2	247	0.5	0.45	virtual
11.3	248	0.45	0.4	virtual
12	249	0.5	0.5	
12.1	250	0.4	0.45	virtual
12.2	251	0.45	0.45	virtual
12.3	252	0.45	0.4	virtual
13	253	0.5	0.5	
13.1	254	0.4	0.45	virtual
13.2	255	0.45	0.45	virtual
13.3	256	0.45	0.4	virtual
14	257	0.5	0.5	
14.2	259	0.5	0.5	virtual
15	261	0.5	0.5	
15.2	263	0.5	0.45	virtual
15.3	264	0.45	0.4	virtual
16	265	0.5	0.5	
16.1	266	0.4	0.45	virtual
16.2	267	0.45	0.45	virtual
16.3	268	0.45	0.4	virtual
17	269	0.5	0.5	
17.1	270	0.4	0.45	virtual
17.2	271	0.45	0.45	virtual
17.3	272	0.45	0.4	virtual
18	273	0.5	0.5	
18.2	275	0.5	0.5	virtual
19	277	0.5	0.5	
19.2	279	0.5	0.5	virtual
20	281	0.5	0.5	
21	285	0.5	0.5	
22	289	0.5	0.5	
23	293	0.5	0.5	
24	297	0.5	0.5	
25	301	0.5	0.5	
26	305	0.5	0.5	
27	309	0.5	0.5	
28	313	0.5	0.5	
29	317	0.5	0.5	virtual
Marker Name	DYS449			
21	322	0.5	0.5	virtual
22	326	0.5	0.5	
23	330	0.5	0.5	
24	334	0.5	0.5	
25	338	0.5	0.5	
26	342	0.5	0.5	
27	346	0.5	0.5	
28	350	0.5	0.5	
29	354	0.5	0.5	
30	358	0.5	0.5	
31	362	0.5	0.5	
32	366	0.5	0.5	
33	370	0.5	0.5	
34	374	0.5	0.5	
35	378	0.5	0.5	
