Version	GMID-X v 1.2			
Chemistry Kit	MRY Prime Kits_v1.1			
BinSet Name	MRY Prime Bins_v1.1			
Panel Name	MRY Prime_v1.1			
Marker Name	DYS393			
16	391.4	0.5	0.5	virtual
Marker Name	DYS438			
7	87.1	0.5	0.5	virtual
8	92.1	0.5	0.5	virtual
8.2	94.1	0.5	0.5	virtual
9	97.1	0.5	0.5	
14	122.8	0.5	0.5	
14.1	123.8	0.5	0.5	virtual
15	127.8	0.5	0.5	virtual
16	132.8	0.5	0.5	virtual
Marker Name	DYS576			
12	164.6	0.5	0.5	virtual
13	168.6	0.5	0.5	virtual
14	172.6	0.5	0.5	
21	200.35	0.5	0.5	
22	204.35	0.5	0.5	virtual
23	208.35	0.5	0.5	virtual
Marker Name	DYF387S1			
31	223.65	0.5	0.5	virtual
32	227.65	0.5	0.5	virtual
33	231.65	0.5	0.5	
42	267	0.5	0.5	
43	271	0.5	0.5	virtual
44	275	0.5	0.5	virtual
45	279	0.5	0.5	virtual
Marker Name	DYS627			
11	289	0.5	0.5	virtual
12	293	0.5	0.5	virtual
13	297	0.5	0.5	virtual
14	301	0.5	0.5	virtual
15	305	0.5	0.5	virtual
16	309	0.5	0.5	
25	343.55	0.5	0.5	
25.2	347.55	0.5	0.5	virtual
26	351.55	0.5	0.5	virtual
Marker Name	DYS449			
24	364.2	0.5	0.5		
35	409.15	0.5	0.5	
36	411.15	0.5	0.5	virtual
