Version	GMID-X v 1.0								
Chemistry Kit	PowerPlexY23_Panels_IDX_v2.0								
BinSet Name	PowerPlexY23_Bins_IDX_v2.0								
Panel Name	PowerPlexY23_IDX_v2.0								
Marker Name	DYS576								
11.3	210.99	0.5	0.4	virtual					
12	212.01	0.4	0.5						
13	216.1	0.5	0.5						
14	220.17	0.5	0.5						
15	224.26	0.5	0.5						
16	228.36	0.5	0.5						
17	232.48	0.5	0.5						
Marker Name	DYS533								
7	240.94	0.4	0.5						
8	245.05	0.5	0.5						
9	249.18	0.5	0.5						
10	253.29	0.5	0.5						
10.2	255.36	0.5	0.5	virtual					
11	257.42	0.5	0.5						
11.3	260.49	0.5	0.4	virtual					
12	261.51	0.4	0.4						
12.1	262.54	0.4	0.5	virtual					
12.3	264.6	0.5	0.4	virtual					
13	265.63	0.4	0.4						
13.1	266.65	0.4	0.5	virtual					
14	269.71	0.5	0.5						
15	273.79	0.5	0.5						
15.3	276.81	0.5	0.4	virtual					
16	277.82	0.4	0.5						
16.3	280.81	0.5	0.4	virtual					
17	281.81	0.4	0.5						
18	285.8	0.5	0.5	virtual					
Marker Name	DYS438								
5	288.57	0.4	0.5	virtual					
6	293.56	0.5	0.5						
7	298.55	0.5	0.5						
8	303.61	0.5	0.5						
8.2	305.64	0.5	0.5	virtual					
9	308.68	0.5	0.5						
9.2	310.71	0.5	0.5	virtual					
9.4	312.74	0.5	0.4	virtual					
10	313.76	0.4	0.5						
11	318.87	0.5	0.5						
11.2	320.91	0.5	0.5	virtual					
12	323.97	0.5	0.5						
13	329.13	0.5	0.5						
13.2	331.19	0.5	0.5	virtual					
14	334.27	0.5	0.4						
14.1	335.3	0.4	0.5	virtual					
15	339.42	0.5	0.5						
16	344.55	0.5	0.4						
Marker Name	DYS437								
10	347.62	0.4	0.5	virtual					
11	351.62	0.5	0.5						
12	355.62	0.5	0.4						
12.1	356.63	0.4	0.5	virtual					
13	359.64	0.5	0.4						
13.1	360.64	0.4	0.4	virtual					
13.2	361.63	0.4	0.5	virtual					
14	363.62	0.5	0.5						
14.2	365.62	0.5	0.5	virtual					
15	367.62	0.5	0.4						
