Version	GMID-X v 1.0											
Chemistry Kit	PowerPlex_Fusion_Panels_IDX_v2.0											
BinSet Name	PowerPlex_Fusion_Bins_IDX_v2.0											
Panel Name	PowerPlex_Fusion_Panels_IDX_v2.0											
Marker Name	AMEL											
12.3	152.61	0.4	0.4	virtual								
13	153.66	0.4	0.4									
13.1	154.7	0.4	0.4	virtual								
13.2	155.73	0.4	0.4									
13.3	156.79	0.4	0.4	virtual								
14	157.84	0.4	0.5									
14.2	159.92	0.5	0.5	virtual								
15	161.99	0.5	0.5									
15.2	164.04	0.5	0.4	virtual								
15.3	165.07	0.4	0.4	virtual								
16	166.09	0.4	0.4									
16.1	167.12	0.4	0.4	virtual								
16.2	168.16	0.4	0.4	virtual								
16.3	169.19	0.4	0.4	virtual								
17	170.22	0.4	0.5									
17.2	172.27	0.5	0.4	virtual								
17.3	173.29	0.4	0.4	virtual								
18	174.31	0.4	0.4									
18.1	175.34	0.4	0.4	virtual								
18.2	176.36	0.4	0.5	virtual								
19	178.41	0.5	0.5									
19.2	180.45	0.5	0.5	virtual								
20	182.49	0.5	0.5									
20.2	184.54	0.5	0.5	virtual								
21	186.58	0.5	0.4									
21.1	187.6	0.4	0.4	virtual								
21.2	188.63	0.4	0.5	virtual								
22	190.67	0.5	0.5									
22.2	192.71	0.5	0.5	virtual								
23	194.75	0.5	0.5									
23.2	196.8	0.5	0.5	virtual								
24	198.84	0.5	0.5									
24.2	200.89	0.5	0.5	virtual								
25	202.93	0.5	0.5									
26	207.03	0.5	0.5									
27	211.12	0.5	0.5									
Marker Name	D2S1338											
10	219.97	0.5	0.5									
11	224.04	0.5	0.5	virtual								
12	228.1	0.5	0.5									
13	232.18	0.5	0.5	virtual								
14	236.26	0.5	0.5									
15	240.35	0.5	0.5									
16	244.42	0.5	0.5									
17	248.54	0.5	0.5									
18	252.63	0.5	0.5									
18.3	255.72	0.5	0.4	virtual								
19	256.75	0.4	0.5									
19.3	259.86	0.5	0.4	virtual								
20	260.9	0.4	0.5									
21	264.95	0.5	0.5									
22	269.04	0.5	0.5									
22.2	271.08	0.5	0.5	virtual								
23	273.11	0.5	0.5									
23.2	275.12	0.5	0.4	virtual								
23.3	276.13	0.4	0.4	virtual								
24	277.13	0.4	0.5									
24.2	279.12	0.5	0.5	virtual								
25	281.11	0.5	0.5									
26	285.1	0.5	0.5									
27	289.07	0.5	0.5									
28	293.03	0.5	0.5									
29	296.99	0.5	0.5	virtual								
Marker Name	CSF1PO											
5	314.72	0.5	0.5									
6	318.79	0.5	0.5									
7	322.83	0.5	0.5									
7.3	325.91	0.5	0.5	virtual								
8	326.93	0.4	0.5									
8.1	327.95	0.4	0.5	virtual								
8.3	330	0.5	0.5	virtual								
9	331.02	0.4	0.5									
9.1	332.05	0.4	0.5	virtual								
10	335.12	0.5	0.5									
10.1	336.14	0.4	0.5	virtual								
10.2	337.16	0.4	0.5	virtual								
10.3	338.18	0.4	0.5	virtual								
11	339.2	0.4	0.5									
11.1	340.22	0.4	0.5	virtual								
11.3	342.27	0.5	0.5	virtual								
12	343.29	0.4	0.5									
12.1	344.31	0.4	0.5	virtual								
12.3	346.35	0.5	0.5	virtual								
13	347.37	0.4	0.5									
13.3	350.42	0.5	0.5	virtual								
14	351.43	0.4	0.5									
15	355.43	0.5	0.5									
16	359.43	0.5	0.5									
Marker Name	Penta D											
2.2	376.35	0.5	0.5									
3.2	381.46	0.5	0.5									
5	389.67	0.5	0.5									
6	394.78	0.5	0.5									
6.4	398.88	0.5	0.5	virtual								
7	399.9	0.4	0.5									
7.4	403.91	0.5	0.5	virtual								
8	404.91	0.4	0.5									
8.2	406.91	0.5	0.5	virtual								
9	409.92	0.5	0.5									
9.2	411.91	0.5	0.5	virtual								
9.4	413.9	0.5	0.5	virtual								
10	414.9	0.4	0.5									
11	419.94	0.5	0.5									
