Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_ESI_Panels_IDX_v3.0			
BinSet Name	PowerPlex_ESI_Bins_IDX_v3.0			
Panel Name	PowerPlex_ESI_17_IDX_v3.0			
Marker Name	AMEL			
13.3	239.83	0.5	0.4	virtual
14	240.86	0.4	0.5	
14.3	243.93	0.5	0.4	
15	245.01	0.4	0.5	
15.3	248.08	0.5	0.4	
16	249.15	0.4	0.5	
16.2	251.21	0.5	0.4	virtual
16.3	252.22	0.4	0.4	
17	253.27	0.4	0.5	
17.1	254.3	0.4	0.5	virtual
17.3	256.37	0.5	0.4	
18	257.42	0.4	0.5	
18.3	260.51	0.5	0.4	
19	261.57	0.4	0.5	
19.3	264.63	0.5	0.5	
20.3	268.76	0.5	0.4	
21	269.79	0.5	0.5	virtual
Marker Name	D10S1248			
8	281.39	0.5	0.5	
9	285.34	0.5	0.5	
10	289.28	0.5	0.5	
11	293.22	0.5	0.5	
12	297.14	0.5	0.5	
13	301.08	0.5	0.5	
14	305.04	0.5	0.5	
15	309.03	0.5	0.5	
16	313	0.5	0.5	
17	316.97	0.5	0.5	
18	320.97	0.5	0.5	
19	324.96	0.5	0.5	
Marker Name	D2S441			
8	342.57	0.5	0.5	
9	346.66	0.5	0.5	
9.1	347.68	0.4	0.5	virtual
10	350.73	0.5	0.4	
10.1	351.73	0.4	0.5	virtual
11	354.75	0.5	0.5	
11.3	357.76	0.5	0.4	
12	358.74	0.4	0.5	
12.3	361.78	0.5	0.4	virtual
13	362.79	0.4	0.5	
13.1	363.79	0.4	0.5	virtual
13.3	365.79	0.5	0.4	virtual
14	366.79	0.4	0.5	
14.3	369.79	0.5	0.4	virtual
15	370.8	0.4	0.5	
16	374.81	0.5	0.5	
17	378.9	0.5	0.5	
Marker Name	TH01			
3	64.96	0.5	0.5	
4	69.49	0.5	0.5	
5	73.92	0.5	0.5	
5.3	77.16	0.5	0.4	virtual
6	78.24	0.5	0.4	
6.1	79.31	0.4	0.5	virtual
6.3	81.46	0.5	0.4	virtual
7	82.53	0.5	0.4	
7.1	83.6	0.4	0.5	virtual
7.3	85.74	0.5	0.4	virtual
8	86.81	0.5	0.5	
8.3	90.02	0.5	0.4	virtual
9	91.09	0.4	0.4	
9.1	92.15	0.4	0.5	virtual
9.3	94.26	0.5	0.4	
10	95.35	0.4	0.5	
10.3	98.55	0.5	0.4	virtual
11	99.61	0.4	0.5	
13.3	111.65	0.5	0.5	
Marker Name	vWA			
10	122.51	0.5	0.5	
11	126.83	0.5	0.5	
12	130.96	0.5	0.5	
13	135.14	0.5	0.5	
14	139.3	0.5	0.5	
15	143.47	0.5	0.5	
15.2	145.56	0.5	0.5	virtual
16	147.64	0.5	0.4	
16.1	148.67	0.4	0.5	virtual
17	151.78	0.5	0.5	
18	155.91	0.5	0.5	
18.2	157.97	0.5	0.4	virtual
18.3	159	0.4	0.4	virtual
19	160.03	0.4	0.5	
20	164.13	0.5	0.5	
21	168.2	0.5	0.5	
22	172.24	0.5	0.5	
23	176.34	0.5	0.5	
24	180.38	0.5	0.5	
25	184.42	0.5	0.5	virtual
Marker Name	D21S11			
23.2	201.75	0.5	0.4	virtual
23.3	202.77	0.4	0.4	virtual
24	203.8	0.4	0.5	
24.2	205.85	0.5	0.4	
24.3	206.85	0.4	0.4	virtual
25	207.85	0.4	0.5	
25.2	209.9	0.5	0.4	
25.3	210.9	0.4	0.4	virtual
26	211.91	0.4	0.5	
26.2	213.96	0.5	0.5	virtual
27	216.01	0.5	0.4	
27.1	217.02	0.4	0.4	virtual
27.2	218.03	0.4	0.5	virtual
28	220.05	0.5	0.4	
28.1	221.07	0.4	0.4	virtual
28.2	222.09	0.4	0.4	
28.3	223.09	0.4	0.4	virtual
29	224.1	0.4	0.4	
29.1	225.11	0.4	0.4	virtual
29.2	226.11	0.4	0.4	
29.3	227.14	0.4	0.4	virtual
30	228.17	0.4	0.4	
30.1	229.19	0.4	0.4	virtual
30.2	230.21	0.4	0.4	
30.3	231.25	0.4	0.4	virtual
31	232.28	0.4	0.4	
31.1	233.27	0.4	0.4	virtual
31.2	234.26	0.4	0.4	
31.3	235.32	0.4	0.4	virtual
32	236.37	0.4	0.4	
32.1	237.38	0.4	0.4	virtual
32.2	238.39	0.4	0.4	
32.3	239.46	0.4	0.4	virtual
33	240.53	0.4	0.4	
33.1	241.51	0.4	0.4	virtual
33.2	242.48	0.4	0.4	
33.3	243.52	0.4	0.4	virtual
34	244.55	0.4	0.4	
34.1	245.58	0.4	0.4	virtual
34.2	246.6	0.4	0.4	
34.3	247.62	0.4	0.4	virtual
35	248.63	0.4	0.4	
35.1	249.67	0.4	0.4	virtual
35.2	250.7	0.4	0.5	
36	252.8	0.5	0.4	
36.1	253.81	0.4	0.4	virtual
36.2	254.82	0.4	0.5	virtual
37	256.83	0.5	0.5	
37.2	258.88	0.5	0.5	virtual
38	260.93	0.5	0.5	
38.2	262.98	0.5	0.5	virtual
39	265.03	0.5	0.5	virtual
Marker Name	D12S391			
13	288.05	0.5	0.5	virtual
14	292.03	0.5	0.5	
15	296.01	0.5	0.5	
16	299.98	0.5	0.5	
17	304	0.5	0.4	
17.1	305.03	0.4	0.5	virtual
17.3	307.09	0.5	0.4	
18	308.01	0.4	0.5	
18.1	309.05	0.4	0.5	virtual
18.3	311.14	0.5	0.4	
19	312.05	0.4	0.5	
19.1	313.07	0.4	0.5	virtual
19.3	315.12	0.5	0.4	virtual
20	316.14	0.4	0.5	
20.1	317.15	0.4	0.5	virtual
20.3	319.17	0.5	0.4	virtual
21	320.18	0.4	0.5	
21.3	323.22	0.5	0.4	virtual
22	324.23	0.4	0.5	
22.3	327.26	0.5	0.4	virtual
23	328.27	0.4	0.5	
24	332.35	0.5	0.5	
24.3	335.4	0.5	0.4	virtual
25	336.42	0.4	0.5	
26	340.53	0.5	0.5	
27	344.61	0.5	0.5	
Marker Name	D8S1179			
6	67.22	0.4	0.5	virtual
7	71.64	0.5	0.5	
8	76.06	0.5	0.5	
9	80.39	0.5	0.5	
10	84.71	0.5	0.5	
11	89.05	0.5	0.5	
12	93.37	0.5	0.5	
12.3	96.69	0.5	0.4	virtual
13	97.79	0.4	0.5	
13.2	99.96	0.5	0.4	virtual
13.3	101.05	0.4	0.4	virtual
14	102.13	0.4	0.4	
14.1	103.22	0.4	0.5	virtual
15	106.5	0.5	0.4	
15.1	107.59	0.4	0.5	virtual
15.3	109.77	0.5	0.4	virtual
16	110.86	0.5	0.5	
17	115.32	0.5	0.5	
18	119.55	0.5	0.5	
19	123.93	0.5	0.5	
20	128.31	0.5	0.5	virtual
Marker Name	FGA			
12.2	136.92	0.5	0.5	virtual
13	139.01	0.5	0.5	virtual
14	143.2	0.5	0.5	
15	147.39	0.5	0.5	
16	151.57	0.5	0.4	
16.1	152.62	0.4	0.5	virtual
16.2	153.67	0.4	0.5	virtual
17	155.77	0.5	0.5	
17.2	157.85	0.5	0.5	virtual
18	159.92	0.5	0.5	
18.2	162.01	0.5	0.5	
19	164.05	0.5	0.4	
19.1	165.09	0.4	0.4	virtual
19.2	166.12	0.4	0.4	
19.3	167.15	0.4	0.4	virtual
20	168.17	0.4	0.4	
20.1	169.2	0.4	0.4	virtual
20.2	170.23	0.4	0.4	
20.3	171.25	0.4	0.4	virtual
21	172.27	0.4	0.4	
21.1	173.3	0.4	0.4	virtual
21.2	174.33	0.4	0.4	
21.3	175.36	0.4	0.4	virtual
22	176.38	0.4	0.4	
22.1	177.41	0.4	0.4	virtual
22.2	178.43	0.4	0.4	
22.3	179.45	0.4	0.4	virtual
23	180.47	0.4	0.4	
23.1	181.49	0.4	0.4	virtual
23.2	182.5	0.4	0.4	
23.3	183.53	0.4	0.4	virtual
24	184.55	0.4	0.4	
24.1	185.57	0.4	0.4	virtual
24.2	186.6	0.4	0.4	
24.3	187.62	0.4	0.4	virtual
25	188.63	0.4	0.4	
25.1	189.65	0.4	0.4	virtual
25.2	190.67	0.4	0.4	
25.3	191.7	0.4	0.4	virtual
26	192.72	0.4	0.4	
26.1	193.74	0.4	0.4	virtual
26.2	194.75	0.4	0.4	virtual
26.3	195.77	0.4	0.4	virtual
27	196.79	0.4	0.5	
27.2	198.81	0.5	0.4	virtual
27.3	199.82	0.4	0.4	virtual
28	200.83	0.4	0.5	
28.2	202.88	0.5	0.4	virtual
28.3	203.91	0.4	0.4	virtual
29	204.93	0.4	0.4	
29.1	205.95	0.4	0.4	virtual
29.2	206.97	0.4	0.5	virtual
30	209	0.5	0.5	
30.2	210.99	0.5	0.5	virtual
31	212.97	0.5	0.5	virtual
31.2	214.96	0.5	0.5	
32	217.01	0.5	0.5	virtual
32.2	219.06	0.5	0.5	
33.2	223.16	0.5	0.5	
34.2	227.26	0.5	0.5	virtual
41.2	256.43	0.5	0.5	virtual
42.2	260.59	0.5	0.5	
43.2	264.75	0.5	0.5	
44.2	268.83	0.5	0.5	
45.2	272.95	0.5	0.5	
46.2	277	0.5	0.5	
47.2	280.99	0.5	0.5	virtual
48.2	284.97	0.5	0.5	
49.2	289.02	0.5	0.5	virtual
50.2	293.07	0.5	0.5	
51.2	297.12	0.5	0.5	virtual
Marker Name	SE33			
4.2	313.95	0.5	0.5	
5	315.79	0.5	0.5	virtual
6	320.01	0.5	0.5	virtual
6.3	323.17	0.5	0.4	
7	324.19	0.4	0.5	virtual
8	328.27	0.5	0.5	
8.2	330.33	0.5	0.5	virtual
9	332.4	0.5	0.5	
9.2	334.45	0.5	0.5	virtual
10	336.51	0.5	0.5	
10.2	338.57	0.5	0.5	virtual
11	340.62	0.5	0.5	
11.2	342.68	0.5	0.5	virtual
12	344.74	0.5	0.5	
12.2	346.79	0.5	0.5	virtual
13	348.85	0.5	0.5	
13.2	350.87	0.5	0.5	virtual
14	352.9	0.5	0.5	
14.2	354.91	0.5	0.4	virtual
14.3	355.91	0.4	0.4	virtual
15	356.92	0.4	0.5	
15.2	358.93	0.5	0.4	virtual
15.3	359.94	0.4	0.4	virtual
16	360.95	0.4	0.5	
16.2	362.95	0.5	0.4	virtual
16.3	363.96	0.4	0.4	virtual
17	364.96	0.4	0.5	
17.2	366.97	0.5	0.5	virtual
18	368.98	0.5	0.5	
18.2	370.98	0.5	0.5	virtual
19	373	0.5	0.5	
19.2	375.03	0.5	0.5	virtual
19.3	376.05	0.4	0.4	virtual
20	377.06	0.5	0.5	
20.2	379.09	0.5	0.5	
21	381.16	0.5	0.4	
21.1	382.17	0.4	0.4	virtual
21.2	383.17	0.4	0.5	
22	385.25	0.5	0.5	
22.2	387.26	0.5	0.5	
23	389.3	0.5	0.5	virtual
23.2	391.33	0.5	0.5	
24	393.37	0.5	0.5	virtual
24.2	395.42	0.5	0.5	
25	397.46	0.5	0.5	virtual
25.2	399.5	0.5	0.5	
26	401.49	0.5	0.5	virtual
26.2	403.49	0.5	0.5	
27	405.49	0.5	0.5	virtual
27.2	407.49	0.5	0.5	
28	409.48	0.5	0.5	virtual
28.2	411.48	0.5	0.5	
29	413.47	0.5	0.5	virtual
29.2	415.47	0.5	0.5	
30	417.47	0.5	0.5	virtual
30.2	419.47	0.5	0.5	
31	421.48	0.5	0.5	virtual
31.2	423.5	0.5	0.5	
32	425.54	0.5	0.5	virtual
32.2	427.59	0.5	0.5	
33	429.67	0.5	0.5	virtual
33.2	431.76	0.5	0.5	
34	433.82	0.5	0.5	virtual
34.2	435.89	0.5	0.5	
35	437.98	0.5	0.5	
35.2	440.06	0.5	0.5	virtual
36	442.14	0.5	0.5	
36.2	444.22	0.5	0.5	virtual
37	446.3	0.5	0.5	
37.2	448.34	0.5	0.5	virtual
38	450.37	0.5	0.5	virtual
38.2	452.41	0.5	0.5	virtual
39	454.44	0.5	0.5	
39.2	456.43	0.5	0.5	virtual
42	466.4	0.5	0.5	
