Version	GMID-X v 1.0						
Chemistry Kit	PowerPlex_18D_Panels_IDX_v2.0						
BinSet Name	PowerPlex_18D_Bins_IDX_v2.0						
Panel Name	PowerPlex_18D_IDX_v2.0						
Marker Name	D3S1358						
6	381.67	0.5	0.5				
7	386.77	0.5	0.5				
8	391.84	0.5	0.5				
9	396.94	0.5	0.5				
10	401.98	0.5	0.5				
11	406.94	0.5	0.5				
11.4	410.93	0.5	0.4	virtual			
12	411.93	0.4	0.5				
13	416.93	0.5	0.5				
14	421.91	0.5	0.5				
14.2	423.94	0.5	0.5	virtual			
15	426.99	0.5	0.5				
15.2	429.07	0.5	0.5	virtual			
16	432.18	0.5	0.5				
16.4	436.33	0.5	0.4	virtual			
17	437.37	0.4	0.5				
17.4	441.52	0.5	0.4	virtual			
18	442.56	0.4	0.5				
19	447.76	0.5	0.5				
20	452.84	0.5	0.5				
21	457.83	0.5	0.5				
22	462.81	0.5	0.5				
23	467.81	0.5	0.5				
24	472.76	0.5	0.5				
Marker Name	D5S818						
6	108.52	0.5	0.5	virtual			
7	112.87	0.5	0.5				
8	117.22	0.5	0.5				
9	121.57	0.5	0.5				
10	125.86	0.5	0.4				
10.1	126.91	0.4	0.5	virtual			
11	130.07	0.5	0.4				
11.1	131.13	0.4	0.5	virtual			
12	134.31	0.5	0.4				
12.1	135.36	0.4	0.5	virtual			
12.3	137.47	0.5	0.4	virtual			
13	138.52	0.4	0.5				
14	142.73	0.5	0.5				
15	146.94	0.5	0.5				
16	151.2	0.5	0.5				
17	155.46	0.5	0.5	virtual			
Marker Name	D13S317						
6	166.15	0.5	0.5	virtual			
7	170.21	0.5	0.4				
7.1	171.23	0.4	0.5	virtual			
8	174.27	0.5	0.4				
8.1	175.29	0.4	0.5	virtual			
9	178.34	0.5	0.5				
10	182.36	0.5	0.5				
11	186.47	0.5	0.5				
12	190.55	0.5	0.5				
12.3	193.61	0.5	0.4	virtual			
13	194.63	0.4	0.5				
13.3	197.67	0.5	0.4	virtual			
14	198.68	0.4	0.5				
15	202.76	0.5	0.5				
16	206.84	0.5	0.5	virtual			
Marker Name	D7S820						
6	214.16	0.5	0.5				
6.3	217.21	0.5	0.4	virtual			
7	218.22	0.4	0.4				
7.1	219.24	0.4	0.5	virtual			
7.3	221.28	0.5	0.4	virtual			
8	222.3	0.4	0.4				
8.1	223.32	0.4	0.4	virtual			
8.2	224.34	0.4	0.4	virtual			
8.3	225.36	0.4	0.4	virtual			
9	226.38	0.4	0.4				
9.1	227.41	0.4	0.4	virtual			
9.2	228.43	0.4	0.4	virtual			
9.3	229.46	0.4	0.4	virtual			
10	230.48	0.4	0.4				
10.1	231.51	0.4	0.5	virtual			
10.3	233.56	0.5	0.4	virtual			
11	234.58	0.4	0.4				
11.1	235.61	0.4	0.4	virtual			
11.2	236.63	0.4	0.4	virtual			
11.3	237.66	0.4	0.4	virtual			
12	238.68	0.4	0.4				
12.1	239.71	0.4	0.5	virtual			
12.3	241.77	0.5	0.4	virtual			
13	242.8	0.4	0.4				
13.1	243.82	0.4	0.5	virtual			
14	246.88	0.5	0.4				
14.1	247.9	0.4	0.5	virtual			
15	250.96	0.5	0.5	virtual			
Marker Name	D16S539						
5	261.18	0.5	0.5				
6	265.27	0.5	0.5	virtual			
7	269.41	0.5	0.5	virtual			
8	273.44	0.5	0.5				
8.3	276.46	0.5	0.4	virtual			
9	277.47	0.4	0.5				
9.3	280.49	0.5	0.4	virtual			
10	281.5	0.4	0.5				
10.3	284.5	0.5	0.4	virtual			
11	285.5	0.4	0.5				
11.3	288.51	0.5	0.4	virtual			
12	289.51	0.4	0.4				
12.1	290.51	0.4	0.4	virtual			
12.2	291.51	0.4	0.5	virtual			
13	293.51	0.5	0.5				
13.3	296.52	0.5	0.4	virtual			
14	297.52	0.4	0.5				
15	301.53	0.5	0.5				
16	305.54	0.5	0.5	virtual			
Marker Name	CSF1PO						
5	313.86	0.5	0.5	virtual			
6	317.9	0.5	0.5				
7	321.94	0.5	0.5				
7.3	324.99	0.5	0.4	virtual			
8	326.01	0.4	0.4				
8.1	327.04	0.4	0.5	virtual			
8.3	329.09	0.5	0.4	virtual			
9	330.11	0.4	0.4				
9.1	331.14	0.4	0.5	virtual			
10	334.21	0.5	0.4				
10.1	335.23	0.4	0.4	virtual			
10.2	336.25	0.4	0.4	virtual			
10.3	337.27	0.4	0.4	virtual			
11	338.29	0.4	0.4				
11.1	339.32	0.4	0.5	virtual			
11.3	341.37	0.5	0.4	virtual			
12	342.39	0.4	0.4				
