Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
BinSet Name	PowerPlex_Fusion_POP7_Bins_IDX_v2.0			
Panel Name	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
Marker Name	AMEL			
21	191.4	0.5	0.4	
21.1	192.43	0.4	0.4	virtual
21.2	193.47	0.4	0.5	virtual
22	195.53	0.5	0.5	
22.2	197.6	0.5	0.5	virtual
23	199.66	0.5	0.5	
23.2	201.73	0.5	0.5	virtual
24	203.79	0.5	0.5	
24.2	205.85	0.5	0.5	virtual
25	207.9	0.5	0.5	
26	212.04	0.5	0.5	
27	216.21	0.5	0.5	
Marker Name	D2S1338			
10	223.23	0.5	0.5	
11	227.31	0.5	0.5	virtual
12	231.38	0.5	0.5	
13	235.47	0.5	0.5	virtual
14	239.55	0.5	0.5	
15	243.64	0.5	0.5	
16	247.74	0.5	0.5	
17	251.83	0.5	0.5	
18	255.93	0.5	0.5	
18.3	258.98	0.5	0.4	virtual
19	259.99	0.4	0.5	
19.3	263.06	0.5	0.4	virtual
20	264.08	0.4	0.5	
21	268.16	0.5	0.5	
22	272.26	0.5	0.5	
22.2	274.3	0.5	0.5	virtual
23	276.34	0.5	0.5	
23.2	278.35	0.5	0.4	virtual
23.3	279.36	0.4	0.4	virtual
24	280.36	0.4	0.5	
24.2	282.39	0.5	0.5	virtual
25	284.41	0.5	0.5	
26	288.43	0.5	0.5	
27	292.46	0.5	0.5	
28	296.48	0.5	0.5	
29	300.5	0.5	0.5	virtual
Marker Name	CSF1PO			
5	317.05	0.5	0.5	
6	321.06	0.5	0.5	
7	325.08	0.5	0.5	
7.3	328.1	0.5	0.5	virtual
8	329.1	0.4	0.5	
8.1	330.12	0.4	0.5	virtual
8.3	332.15	0.5	0.5	virtual
9	333.17	0.4	0.5	
9.1	334.18	0.4	0.5	virtual
10	337.22	0.5	0.5	
10.1	338.23	0.4	0.5	virtual
10.2	339.24	0.4	0.5	virtual
10.3	340.25	0.4	0.5	virtual
11	341.26	0.4	0.5	
11.1	342.27	0.4	0.5	virtual
11.3	344.28	0.5	0.5	virtual
12	345.29	0.4	0.5	
12.1	346.31	0.4	0.5	virtual
12.3	348.34	0.5	0.5	virtual
13	349.35	0.4	0.5	
13.3	352.37	0.5	0.5	virtual
14	353.37	0.4	0.5	
15	357.37	0.5	0.5	
16	361.41	0.5	0.5	
Marker Name	Penta D			
2.2	380.99	0.5	0.5	
3.2	386.22	0.5	0.5	
5	394.54	0.5	0.5	
6	399.73	0.5	0.5	
6.4	403.83	0.5	0.5	virtual
7	404.85	0.4	0.5	
7.4	408.96	0.5	0.5	virtual
8	409.99	0.4	0.5	
8.2	412.04	0.5	0.5	virtual
9	415.12	0.5	0.5	
9.2	417.18	0.5	0.5	virtual
9.4	419.24	0.5	0.5	virtual
10	420.27	0.4	0.5	
11	425.41	0.5	0.5	
11.1	426.46	0.4	0.5	virtual
11.2	427.51	0.4	0.5	virtual
12	430.65	0.5	0.5	
12.1	431.7	0.4	0.5	virtual
