Version	GM v 4.0			
Chemistry Kit	NMI_2009			
BinSet Name	NMI_binset			
Panel Name	NMI_2009_panel			
Marker Name	NMI01			
36.1	333	0.5	0.5	
36.2	334	0.5	0.5	
36.3	335	0.5	0.5	
36.4	336	0.5	0.5	
36.5	337	0.5	0.5	
37	338	0.5	0.5	
37.1	339	0.5	0.5	
37.2	340	0.5	0.5	virtual
37.3	341	0.5	0.5	virtual
37.4	342	0.5	0.5	virtual
37.5	343	0.5	0.5	virtual
38	344	0.5	0.5	virtual
38.1	345	0.5	0.5	virtual
38.2	346	0.5	0.5	virtual
38.3	347	0.5	0.5	virtual
38.4	348	0.5	0.5	virtual
38.5	349	0.5	0.5	virtual
39	350	0.5	0.5	virtual
39.1	351	0.5	0.5	virtual
39.2	352	0.5	0.5	virtual
39.3	353	0.5	0.5	virtual
39.4	354	0.5	0.5	virtual
39.5	355	0.5	0.5	virtual
40	356	0.5	0.5	virtual
