Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_21_Panels_IDX_v1.1			
BinSet Name	PowerPlex_21_Bins_IDX_v1.1			
Panel Name	PowerPlex_21_IDX_v1.1			
Marker Name	AMEL			
18.3	255.51	0.5	0.4	virtual
19	256.53	0.5	0.5	
19.3	259.58	0.5	0.4	virtual
20	260.6	0.5	0.5	
21	264.65	0.5	0.5	
22	268.69	0.5	0.5	
23	272.73	0.5	0.5	
23.2	274.73	0.5	0.4	virtual
23.3	275.73	0.5	0.4	virtual
24	276.73	0.5	0.5	
24.2	278.72	0.5	0.5	virtual
25	280.71	0.5	0.5	
26	284.68	0.5	0.5	
27	288.63	0.5	0.5	
28	292.57	0.5	0.5	
Marker Name	CSF1PO			
5	314.01	0.5	0.5	
6	318.03	0.5	0.5	
7	322.08	0.5	0.5	
7.3	325.11	0.5	0.4	virtual
8	326.12	0.5	0.4	
8.1	327.14	0.5	0.5	virtual
9	330.19	0.5	0.4	
9.1	331.21	0.5	0.5	virtual
10	334.27	0.5	0.4	
10.1	335.28	0.5	0.4	virtual
10.2	336.3	0.5	0.4	virtual
10.3	337.31	0.5	0.4	virtual
11	338.32	0.5	0.4	
11.1	339.34	0.5	0.5	virtual
11.3	341.37	0.5	0.4	virtual
12	342.38	0.5	0.5	
12.3	345.44	0.5	0.4	virtual
13	346.46	0.5	0.5	
14	350.5	0.5	0.5	
15	354.5	0.5	0.5	
16	358.5	0.5	0.5	
Marker Name	Penta D			
2.2	375.52	0.5	0.5	
3.2	380.65	0.5	0.5	
5	388.85	0.5	0.5	
6	393.95	0.5	0.5	
7	399.07	0.5	0.5	
7.4	403.1	0.5	0.4	virtual
8	404.1	0.5	0.5	
9	409.12	0.5	0.5	
9.2	411.12	0.5	0.5	virtual
9.4	413.12	0.5	0.4	virtual
10	414.12	0.5	0.5	
11	419.12	0.5	0.5	
11.2	421.1	0.5	0.5	virtual
12	424.13	0.5	0.5	
12.2	426.14	0.5	0.5	virtual
13	429.35	0.5	0.5	
13.4	433.53	0.5	0.4	virtual
14	434.57	0.5	0.4	
14.1	435.61	0.5	0.5	virtual
15	439.77	0.5	0.5	
16	445	0.5	0.5	
17	450.18	0.5	0.5	
18	455.4	0.5	0.5	virtual
Marker Name	TH01			
3	70.91	0.5	0.5	
4	74.92	0.5	0.5	
5	78.88	0.5	0.5	
6	82.87	0.5	0.5	
7	86.87	0.5	0.5	
8	90.88	0.5	0.5	
8.3	93.89	0.5	0.4	virtual
9	94.89	0.5	0.5	
9.3	97.9	0.5	0.4	
10	98.93	0.5	0.5	
10.3	102	0.5	0.4	virtual
11	103.02	0.5	0.5	
13.3	114.45	0.5	0.5	
Marker Name	vWA			
10	127.6	0.5	0.5	
11	131.73	0.5	0.5	
12	135.72	0.5	0.5	
13	139.76	0.5	0.5	
14	143.82	0.5	0.5	
15	147.87	0.5	0.5	
15.2	149.89	0.5	0.5	virtual
16	151.91	0.5	0.5	
17	155.95	0.5	0.5	
18	159.97	0.5	0.5	
19	163.97	0.5	0.5	
20	167.97	0.5	0.5	
21	171.94	0.5	0.5	
22	175.89	0.5	0.5	
23	179.88	0.5	0.5	
24	183.88	0.5	0.5	
25	187.87	0.5	0.5	virtual
Marker Name	D21S11			
23.2	202.08	0.5	0.5	virtual
24	204.07	0.5	0.5	
24.2	206.08	0.5	0.4	
24.3	207.07	0.5	0.4	virtual
25	208.07	0.5	0.5	
25.2	210.07	0.5	0.4	
25.3	211.07	0.5	0.4	virtual
26	212.06	0.5	0.5	
26.2	214.09	0.5	0.5	virtual
27	216.11	0.5	0.4	
27.1	217.1	0.5	0.4	virtual
27.2	218.09	0.5	0.5	virtual
28	220.08	0.5	0.4	
28.1	221.09	0.5	0.4	virtual
28.2	222.1	0.5	0.4	
28.3	223.09	0.5	0.4	virtual
29	224.08	0.5	0.4	
29.1	225.08	0.5	0.4	virtual
29.2	226.08	0.5	0.4	
29.3	227.1	0.5	0.4	virtual
30	228.13	0.5	0.5	
30.2	230.11	0.5	0.4	
30.3	231.14	0.5	0.4	virtual
31	232.17	0.5	0.4	
31.1	233.15	0.5	0.4	virtual
31.2	234.13	0.5	0.5	
32	236.22	0.5	0.4	
32.1	237.21	0.5	0.4	virtual
32.2	238.2	0.5	0.5	
33	240.31	0.5	0.4	
33.1	241.28	0.5	0.4	virtual
33.2	242.25	0.5	0.5	
34	244.28	0.5	0.4	
34.1	245.3	0.5	0.4	virtual
34.2	246.31	0.5	0.5	
35	248.32	0.5	0.4	
35.1	249.34	0.5	0.4	virtual
35.2	250.36	0.5	0.5	
36	252.44	0.5	0.4	
36.1	253.44	0.5	0.4	virtual
36.2	254.44	0.5	0.5	virtual
37	256.43	0.5	0.5	
37.2	258.46	0.5	0.5	virtual
38	260.48	0.5	0.5	
38.2	262.5	0.5	0.5	virtual
39	264.5	0.5	0.5	virtual
Marker Name	D7S820			
5	269.23	0.5	0.5	
6	273.29	0.5	0.5	
6.3	276.32	0.5	0.4	virtual
7	277.33	0.5	0.5	
7.3	280.33	0.5	0.4	virtual
8	281.33	0.5	0.4	
8.1	282.33	0.5	0.5	virtual
8.3	284.33	0.5	0.4	virtual
9	285.33	0.5	0.4	
9.1	286.33	0.5	0.5	virtual
9.3	288.32	0.5	0.4	virtual
10	289.32	0.5	0.4	
10.1	290.32	0.5	0.5	virtual
10.3	292.32	0.5	0.4	virtual
11	293.31	0.5	0.4	
11.1	294.31	0.5	0.5	virtual
11.3	296.31	0.5	0.4	virtual
12	297.32	0.5	0.4	
12.1	298.32	0.5	0.5	virtual
13	301.34	0.5	0.4	
13.1	302.35	0.5	0.5	virtual
14	305.37	0.5	0.5	
15	309.42	0.5	0.5	
16	313.44	0.5	0.5	
Marker Name	D5S818			
5	318	0.5	0.5	virtual
6	322.06	0.5	0.5	
7	326.09	0.5	0.5	
8	330.17	0.5	0.5	
9	334.23	0.5	0.5	
10	338.3	0.5	0.4	
10.1	339.31	0.5	0.5	virtual
11	342.35	0.5	0.4	
11.1	343.37	0.5	0.5	virtual
12	346.42	0.5	0.4	
12.1	347.43	0.5	0.5	virtual
12.3	349.45	0.5	0.4	virtual
13	350.46	0.5	0.5	
14	354.45	0.5	0.5	
15	358.44	0.5	0.5	
16	362.42	0.5	0.5	
17	366.4	0.5	0.5	
18	370.4	0.5	0.5	
19	374.37	0.5	0.5	virtual
Marker Name	TPOX			
4	393.53	0.5	0.5	
5	397.7	0.5	0.5	
6	401.68	0.5	0.5	
7	405.67	0.5	0.4	
7.1	406.66	0.5	0.5	virtual
7.3	408.63	0.5	0.4	virtual
8	409.62	0.5	0.5	
9	413.59	0.5	0.5	
10	417.5	0.5	0.4	
10.1	418.51	0.5	0.5	virtual
11	421.54	0.5	0.5	
12	425.48	0.5	0.5	
13	429.68	0.5	0.5	
14	433.81	0.5	0.5	
15	437.95	0.5	0.5	
16	442.06	0.5	0.5	
Marker Name	D8S1179			
7	76.81	0.5	0.5	
8	80.81	0.5	0.5	
9	84.85	0.5	0.5	
10	88.9	0.5	0.5	
11	92.96	0.5	0.5	
12	97.04	0.5	0.5	
13	101.25	0.5	0.5	
14	105.39	0.5	0.5	
15	109.52	0.5	0.5	
16	113.69	0.5	0.5	
17	117.93	0.5	0.5	
18	121.96	0.5	0.5	
19	126.15	0.5	0.5	
20	130.23	0.5	0.4	virtual
Marker Name	D12S391			
13	131.88	0.4	0.5	virtual
14	135.93	0.5	0.5	
15	139.97	0.5	0.5	
16	144.03	0.5	0.5	
17	148.08	0.5	0.5	
17.1	149.07	0.4	0.5	virtual
17.3	151.06	0.5	0.5	
