Version	GMID-X v 1.0
Chemistry Kit	PowerPlex_18D_Panels_IDX_v1.2
BinSet Name	PowerPlex_18D_Bins_IDX_v1.2
Panel Name	PowerPlex_18D_IDX_v1.2
Marker Name	D3S1358
13	195.21	0.5	0.5	
14	199.21	0.5	0.5	
15	203.23	0.5	0.5	
16	207.25	0.5	0.5	virtual
Marker Name	D7S820
6	214.52	0.5	0.5	
6.3	217.53	0.5	0.4	virtual
7	218.53	0.5	0.5	
7.3	221.55	0.5	0.4	virtual
8	222.56	0.5	0.4	
8.1	223.57	0.5	0.5	virtual
8.3	225.59	0.5	0.4	virtual
9	226.6	0.5	0.4	
9.1	227.61	0.5	0.5	virtual
9.3	229.65	0.5	0.4	virtual
10	230.66	0.5	0.4	
10.1	231.67	0.5	0.5	virtual
10.3	233.69	0.5	0.4	virtual
11	234.7	0.5	0.4	
11.1	235.71	0.5	0.5	virtual
11.3	237.73	0.5	0.4	virtual
12	238.74	0.5	0.4	
12.1	239.76	0.5	0.5	virtual
13	242.8	0.5	0.4	
13.1	243.81	0.5	0.5	virtual
14	246.85	0.5	0.5	
Marker Name	D16S539
5	261.07	0.5	0.5	
6	265.11	0.5	0.5	virtual
8	273.19	0.5	0.5	
9	277.25	0.5	0.5	
9.3	280.21	0.5	0.4	virtual
10	281.2	0.5	0.5	
11	285.18	0.5	0.5	
11.3	288.18	0.5	0.4	virtual
12	289.18	0.5	0.4	
12.1	290.17	0.5	0.5	virtual
13	293.14	0.5	0.5	
13.3	296.16	0.5	0.4	virtual
14	297.16	0.5	0.5	
15	301.18	0.5	0.5	
Marker Name	CSF1PO
5	313.28	0.5	0.5	virtual
6	317.29	0.5	0.5	
7	321.3	0.5	0.5	
7.3	324.29	0.5	0.4	virtual
8	325.29	0.5	0.5	
8.3	328.37	0.5	0.4	virtual
9	329.39	0.5	0.4	
9.1	330.41	0.5	0.5	virtual
10	333.47	0.5	0.5	
10.2	335.5	0.5	0.4	virtual
10.3	336.52	0.5	0.4	virtual
11	337.53	0.5	0.5	
12	341.59	0.5	0.4	
12.1	342.61	0.5	0.5	virtual
13	345.67	0.5	0.5	
14	349.68	0.5	0.5	
15	353.72	0.5	0.5	
16	357.76	0.5	0.5	virtual
Marker Name	Penta D
2.2	375.62	0.5	0.5	
3.2	380.77	0.5	0.5	
5	388.98	0.5	0.5	
6	394.07	0.5	0.5	
7	399.18	0.5	0.5	
8	404.25	0.5	0.5	
9	409.25	0.5	0.5	
10	414.25	0.5	0.5	
11	419.24	0.5	0.5	
12	424.24	0.5	0.5	
12.2	426.34	0.5	0.5	virtual
13	429.48	0.5	0.5	
14	434.69	0.5	0.4	
14.1	435.73	0.5	0.5	virtual
15	439.89	0.5	0.5	
16	445.11	0.5	0.5	
17	450.26	0.5	0.5	
Marker Name	AMEL
1	111.09	0.5	0.5	
2	117.03	0.5	0.5	
Marker Name	vWA
10	127.73	0.5	0.5	
11	131.88	0.5	0.5	
12	135.86	0.5	0.5	
13	139.88	0.5	0.5	
14	143.94	0.5	0.5	
15	147.99	0.5	0.5	
15.2	150.01	0.5	0.5	virtual
16	152.03	0.5	0.5	
17	156.07	0.5	0.5	
18	160.08	0.5	0.5	
19	164.09	0.5	0.5	
20	168.06	0.5	0.5	
21	172.05	0.5	0.5	
22	176.0	0.5	0.5	
23	180.0	0.5	0.5	
24	183.99	0.5	0.5	
25	187.98	0.5	0.5	virtual
Marker Name	D8S1179
7	203.72	0.5	0.5	
8	207.72	0.5	0.5	
9	211.72	0.5	0.5	
10	215.72	0.5	0.5	
11	219.73	0.5	0.5	
12	223.76	0.5	0.5	
13	227.76	0.5	0.5	
14	231.8	0.5	0.5	
15	235.83	0.5	0.5	
16	239.89	0.5	0.5	
17	243.89	0.5	0.5	
18	247.98	0.5	0.5	
19	252.03	0.5	0.5	
20	256.08	0.5	0.5	virtual
Marker Name	TPOX
5	263.35	0.5	0.5	virtual
6	267.41	0.5	0.5	
7	271.47	0.5	0.5	
8	275.38	0.5	0.5	
9	279.37	0.5	0.5	
10	283.32	0.5	0.5	
11	287.25	0.5	0.5	
12	291.19	0.5	0.5	
13	295.15	0.5	0.5	
14	299.11	0.5	0.5	virtual
Marker Name	FGA
13	311.54	0.5	0.5	virtual
14	315.6	0.5	0.5	
15	319.66	0.5	0.5	
16	323.72	0.5	0.4	
16.1	324.75	0.5	0.5	virtual
17	327.82	0.5	0.5	
17.2	329.88	0.5	0.5	virtual
18	331.93	0.5	0.5	
18.2	333.98	0.5	0.5	
19	336.02	0.5	0.5	
19.2	338.09	0.5	0.4	
19.3	339.11	0.5	0.4	virtual
20	340.12	0.5	0.4	
20.1	341.15	0.5	0.4	virtual
20.2	342.18	0.5	0.4	
20.3	343.2	0.5	0.4	virtual
21	344.21	0.5	0.5	
21.2	346.28	0.5	0.4	
21.3	347.3	0.5	0.4	virtual
22	348.31	0.5	0.4	
22.1	349.33	0.5	0.4	virtual
22.2	350.34	0.5	0.4	
22.3	351.36	0.5	0.4	virtual
23	352.37	0.5	0.4	
23.1	353.39	0.5	0.4	virtual
23.2	354.4	0.5	0.4	
23.3	355.4	0.5	0.4	virtual
24	356.4	0.5	0.4	
24.1	357.41	0.5	0.4	virtual
24.2	358.42	0.5	0.4	
24.3	359.43	0.5	0.4	virtual
25	360.43	0.5	0.4	
25.1	361.44	0.5	0.4	virtual
25.2	362.45	0.5	0.4	
25.3	363.45	0.5	0.4	virtual
26	364.44	0.5	0.4	
26.1	365.44	0.5	0.4	virtual
26.2	366.44	0.5	0.5	virtual
27	368.45	0.5	0.5	
27.2	370.44	0.5	0.5	virtual
28	372.44	0.5	0.5	
28.2	374.48	0.5	0.5	virtual
29	376.51	0.5	0.5	
29.2	378.56	0.5	0.5	virtual
30	380.61	0.5	0.5	
30.2	382.61	0.5	0.5	virtual
31	384.6	0.5	0.5	virtual
31.2	386.6	0.5	0.5	
32.2	390.68	0.5	0.5	
33.2	394.75	0.5	0.5	
34.2	398.82	0.5	0.5	virtual
41.2	427.12	0.5	0.5	virtual
42.2	431.3	0.5	0.5	
43.2	435.48	0.5	0.5	
44.2	439.63	0.5	0.5	
45.2	443.8	0.5	0.5	
46.2	447.96	0.5	0.5	
47.2	451.98	0.5	0.5	virtual
48.2	456.0	0.5	0.5	
49.2	459.99	0.5	0.5	virtual
50.2	463.98	0.5	0.5	
