Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_ESI_Panels_IDX_v1.1			
BinSet Name	PowerPlex_ESI_Bins_IDX_v1.1			
Panel Name	PowerPlex_ESI_17_IDX_v1.1			
Marker Name	AMEL			
12	357.17	0.5	0.5	
12.3	360.21	0.5	0.4	virtual
13	361.25	0.5	0.5	
13.3	364.24	0.5	0.4	virtual
14	365.26	0.5	0.5	
14.3	368.26	0.5	0.4	virtual
15	369.27	0.5	0.5	
16	373.28	0.5	0.5	
17	377.34	0.5	0.5	
Marker Name	TH01			
3	71.07	0.5	0.5	
4	75.11	0.5	0.5	
5	79.15	0.5	0.5	
6	83.16	0.5	0.5	
7	87.14	0.5	0.5	
8	91.22	0.5	0.5	
8.3	94.24	0.5	0.4	virtual
9	95.26	0.5	0.5	
9.3	98.29	0.5	0.4	
10	99.26	0.5	0.5	
10.3	102.37	0.5	0.4	virtual
11	103.39	0.5	0.5	
13.3	114.79	0.5	0.5	
Marker Name	vWA			
10	124.78	0.5	0.5	
11	128.95	0.5	0.5	
12	132.91	0.5	0.5	
13	136.95	0.5	0.5	
14	141	0.5	0.5	
15	145.09	0.5	0.5	
15.2	147.1	0.5	0.5	virtual
16	149.1	0.5	0.5	
17	153.11	0.5	0.5	
18	157.14	0.5	0.5	
19	161.15	0.5	0.5	
20	165.15	0.5	0.5	
21	169.15	0.5	0.5	
22	173.07	0.5	0.5	
23	177.07	0.5	0.5	
24	181.08	0.5	0.5	
25	185.1	0.5	0.5	virtual
Marker Name	D21S11			
23.2	201.97	0.5	0.5	virtual
24	203.99	0.5	0.5	
24.2	205.95	0.5	0.5	
24.3	206.97	0.4	0.4	virtual
25	207.99	0.5	0.5	
25.2	209.96	0.5	0.5	
25.3	210.99	0.4	0.4	virtual
26	212.01	0.5	0.5	
26.2	214.02	0.5	0.5	virtual
27	216.03	0.5	0.5	
27.1	217.02	0.4	0.4	virtual
27.2	218.01	0.5	0.5	virtual
28	219.99	0.5	0.5	
28.1	221.02	0.4	0.4	virtual
28.2	222.06	0.5	0.5	
28.3	223.05	0.4	0.4	virtual
29	224.04	0.5	0.5	
29.1	225.04	0.4	0.4	virtual
29.2	226.04	0.5	0.5	
29.3	227.04	0.4	0.4	virtual
30	228.04	0.5	0.5	
30.2	230.04	0.5	0.5	
30.3	231.08	0.4	0.4	virtual
31	232.13	0.5	0.5	
31.1	233.08	0.4	0.4	virtual
31.2	234.05	0.5	0.5	
32	236.14	0.5	0.5	
32.1	237.15	0.4	0.4	virtual
32.2	238.15	0.5	0.5	
33	240.24	0.5	0.5	
33.1	241.21	0.4	0.4	virtual
33.2	242.17	0.5	0.5	
34	244.27	0.5	0.5	
34.1	245.28	0.4	0.4	virtual
34.2	246.28	0.5	0.5	
35	248.3	0.5	0.5	
35.1	249.31	0.4	0.4	virtual
35.2	250.32	0.5	0.5	
36	252.34	0.5	0.5	
36.1	253.35	0.4	0.4	virtual
36.2	254.36	0.5	0.5	virtual
37	256.38	0.5	0.5	
37.2	258.4	0.5	0.5	virtual
38	260.41	0.5	0.5	
38.2	262.43	0.5	0.5	virtual
39	264.45	0.5	0.5	virtual
Marker Name	D12S391			
13	287.42	0.5	0.5	virtual
14	291.21	0.5	0.5	
15	295.12	0.5	0.5	
16	299.12	0.5	0.5	
17	303.13	0.5	0.5	
17.1	304.12	0.4	0.5	virtual
17.3	306.11	0.5	0.4	
18	307.07	0.5	0.5	
18.1	308.1	0.4	0.5	virtual
18.3	310.14	0.5	0.4	
19	311.11	0.5	0.5	
19.1	312.1	0.4	0.5	virtual
19.3	314.09	0.5	0.4	virtual
20	315.08	0.5	0.5	
20.1	316.1	0.4	0.5	virtual
20.3	318.11	0.5	0.4	virtual
21	319.13	0.5	0.5	
22	323.12	0.5	0.5	
23	327.07	0.5	0.5	
24	331.2	0.5	0.5	
24.3	334.23	0.5	0.4	virtual
25	335.25	0.5	0.5	
26	339.31	0.5	0.5	
27	343.37	0.5	0.5	
Marker Name	D8S1179			
7	77.02	0.5	0.5	
8	81.08	0.5	0.5	
9	85.11	0.5	0.5	
10	89.17	0.5	0.5	
11	93.27	0.5	0.5	
12	97.4	0.5	0.5	
13	101.58	0.5	0.5	
14	105.74	0.5	0.5	
15	109.84	0.5	0.5	
16	114.03	0.5	0.5	
17	118.23	0.5	0.5	
18	122.27	0.5	0.5	
19	126.45	0.5	0.5	
20	130.4	0.5	0.5	virtual
Marker Name	FGA			
12.2	139.02	0.5	0.5	virtual
13	141.07	0.5	0.5	virtual
14	145.16	0.5	0.5	
15	149.25	0.5	0.5	
16	153.35	0.5	0.5	
16.1	154.38	0.4	0.5	virtual
17	157.45	0.5	0.5	
17.2	159.46	0.5	0.5	virtual
18	161.54	0.5	0.5	
18.2	163.54	0.5	0.5	
19	165.53	0.5	0.5	
19.2	167.53	0.5	0.5	
19.3	168.53	0.4	0.4	virtual
20	169.53	0.5	0.5	
20.1	170.57	0.4	0.4	virtual
20.2	171.61	0.5	0.5	
20.3	172.61	0.4	0.4	virtual
21	173.61	0.5	0.5	
21.2	175.61	0.5	0.5	
21.3	176.61	0.4	0.4	virtual
22	177.61	0.5	0.5	
22.1	178.61	0.4	0.4	virtual
22.2	179.62	0.5	0.5	
22.3	180.62	0.4	0.4	virtual
23	181.62	0.5	0.5	
23.1	182.62	0.4	0.4	virtual
23.2	183.63	0.5	0.5	
23.3	184.64	0.4	0.4	virtual
24	185.64	0.5	0.5	
24.1	186.65	0.4	0.4	virtual
24.2	187.65	0.5	0.5	
24.3	188.66	0.4	0.4	virtual
25	189.66	0.5	0.5	
25.1	190.67	0.4	0.4	virtual
25.2	191.68	0.5	0.5	
25.3	192.69	0.4	0.4	virtual
26	193.7	0.5	0.5	
26.1	194.63	0.4	0.4	virtual
26.2	195.56	0.5	0.5	virtual
27	197.66	0.5	0.5	
27.2	199.61	0.5	0.5	virtual
28	201.72	0.5	0.5	
28.2	203.6	0.5	0.5	virtual
29	205.71	0.5	0.5	
29.2	207.68	0.5	0.5	virtual
30	209.8	0.5	0.5	
30.2	211.61	0.5	0.5	virtual
31	213.68	0.5	0.5	virtual
31.2	215.72	0.5	0.5	
32.2	219.76	0.5	0.5	
33.2	223.81	0.5	0.5	
34.2	227.86	0.5	0.5	virtual
41.2	256.86	0.5	0.5	virtual
42.2	260.9	0.5	0.5	
43.2	265.01	0.5	0.5	
44.2	269.12	0.5	0.5	
45.2	273.23	0.5	0.5	
46.2	277.23	0.5	0.5	
47.2	281.15	0.5	0.5	virtual
48.2	285.22	0.5	0.5	
49.2	289.29	0.5	0.5	virtual
50.2	293.29	0.5	0.5	
Marker Name	SE33			
4.2	312.48	0.5	0.5	
6.3	321.66	0.5	0.5	
8	326.73	0.5	0.5	
8.2	328.8	0.5	0.5	virtual
9	330.87	0.5	0.5	
9.2	332.94	0.5	0.5	virtual
10	335	0.5	0.5	
10.2	337.03	0.5	0.5	virtual
11	339.06	0.5	0.5	
11.2	341.13	0.5	0.5	virtual
12	343.2	0.5	0.5	
12.2	345.27	0.5	0.5	virtual
13	347.35	0.5	0.5	
13.2	349.41	0.5	0.5	virtual
14	351.47	0.5	0.5	
14.2	353.47	0.5	0.4	virtual
14.3	354.47	0.5	0.4	virtual
15	355.46	0.5	0.5	
15.2	357.46	0.5	0.4	virtual
15.3	358.46	0.5	0.4	virtual
16	359.46	0.5	0.5	
16.2	361.5	0.5	0.4	virtual
16.3	362.52	0.5	0.4	virtual
17	363.54	0.5	0.5	
17.2	365.55	0.5	0.5	virtual
18	367.55	0.5	0.5	
18.2	369.59	0.5	0.5	virtual
19	371.64	0.5	0.5	
19.2	373.65	0.5	0.5	virtual
20	375.67	0.5	0.5	
20.2	377.68	0.5	0.5	
21	379.77	0.5	0.5	
21.2	381.78	0.5	0.5	
22	383.87	0.5	0.5	
22.2	385.89	0.5	0.5	
23.2	390	0.5	0.5	
24.2	394.11	0.5	0.5	
25.2	398.23	0.5	0.5	
26.2	402.29	0.5	0.5	
27.2	406.23	0.5	0.5	
28.2	410.27	0.5	0.5	
29.2	414.25	0.5	0.5	
30.2	418.23	0.5	0.5	
31.2	422.32	0.5	0.5	
32.2	426.4	0.5	0.5	
33.2	430.62	0.5	0.5	
34.2	434.84	0.5	0.5	
35	436.95	0.5	0.5	
35.2	439.06	0.5	0.5	virtual
36	441.18	0.5	0.5	
36.2	443.3	0.5	0.5	virtual
37	445.41	0.5	0.5	
37.2	447.49	0.5	0.5	virtual
38	449.56	0.5	0.5	virtual
38.2	451.58	0.5	0.5	virtual
39	453.6	0.5	0.5	
39.2	455.62	0.5	0.5	virtual
42	465.51	0.5	0.5	
