Version	GMID-X v 1.0																			
Chemistry Kit	PowerPlex_21_Panels_IDX_v2.0																			
BinSet Name	PowerPlex_21_Bins_IDX_v2.0																			
Panel Name	PowerPlex_21_IDX_v2.0																			
Marker Name	AMEL																			
16.2	168.17	0.4	0.4	virtual																
16.3	169.2	0.4	0.4	virtual																
17	170.22	0.4	0.5																	
17.2	172.27	0.5	0.4	virtual																
17.3	173.3	0.4	0.4	virtual																
18	174.32	0.4	0.4																	
18.1	175.34	0.4	0.4	virtual																
18.2	176.37	0.4	0.5	virtual																
19	178.41	0.5	0.5																	
19.2	180.45	0.5	0.5	virtual																
20	182.49	0.5	0.5																	
20.2	184.55	0.5	0.5	virtual																
21	186.6	0.5	0.4																	
21.1	187.62	0.4	0.4	virtual																
21.2	188.64	0.4	0.5	virtual																
22	190.68	0.5	0.5																	
22.2	192.73	0.5	0.5	virtual																
23	194.77	0.5	0.5																	
23.2	196.81	0.5	0.5	virtual																
24	198.85	0.5	0.5																	
24.2	200.9	0.5	0.5	virtual																
25	202.94	0.5	0.5																	
26	207.03	0.5	0.5																	
27	211.13	0.5	0.5																	
Marker Name	D2S1338																			
10	219.98	0.5	0.5																	
11	224.03	0.5	0.5	virtual																
12	228.08	0.5	0.5																	
13	232.17	0.5	0.5	virtual																
14	236.26	0.5	0.5																	
15	240.34	0.5	0.5																	
16	244.44	0.5	0.5																	
17	248.54	0.5	0.5																	
18	252.66	0.5	0.5																	
18.3	255.74	0.5	0.4	virtual																
19	256.77	0.4	0.5																	
19.3	259.86	0.5	0.4	virtual																
20	260.89	0.4	0.5																	
21	264.98	0.5	0.5																	
22	269.05	0.5	0.5																	
22.2	271.08	0.5	0.5	virtual																
23	273.11	0.5	0.5																	
23.2	275.13	0.5	0.4	virtual																
23.3	276.14	0.4	0.4	virtual																
24	277.15	0.4	0.5																	
24.2	279.14	0.5	0.5	virtual																
25	281.13	0.5	0.5																	
26	285.12	0.5	0.5																	
27	289.1	0.5	0.5																	
28	293.06	0.5	0.5																	
29	297.02	0.5	0.5	virtual																
Marker Name	CSF1PO																			
5	314.72	0.5	0.5																	
6	318.77	0.5	0.5																	
7	322.81	0.5	0.5																	
7.3	325.88	0.5	0.4	virtual																
8	326.9	0.4	0.4																	
8.1	327.93	0.4	0.5	virtual																
8.3	329.98	0.5	0.4	virtual																
9	331.01	0.4	0.4																	
9.1	332.03	0.4	0.5	virtual																
10	335.09	0.5	0.4																	
10.1	336.11	0.4	0.4	virtual																
10.2	337.14	0.4	0.4	virtual																
10.3	338.16	0.4	0.4	virtual																
11	339.18	0.4	0.4																	
11.1	340.2	0.4	0.5	virtual																
11.3	342.25	0.5	0.4	virtual																
12	343.27	0.4	0.4																	
12.1	344.29	0.4	0.5	virtual																
12.3	346.34	0.5	0.4	virtual																
13	347.36	0.4	0.5																	
13.3	350.41	0.5	0.4	virtual																
14	351.42	0.4	0.5																	
15	355.41	0.5	0.5																	
16	359.42	0.5	0.5																	
Marker Name	Penta D																			
2.2	376.35	0.5	0.5																	
3.2	381.48	0.5	0.5																	
5	389.66	0.5	0.5																	
6	394.8	0.5	0.5																	
6.4	398.87	0.5	0.4	virtual																
7	399.89	0.4	0.5																	
7.4	403.9	0.5	0.4	virtual																
8	404.9	0.4	0.5																	
8.2	406.9	0.5	0.5	virtual																
9	409.9	0.5	0.5																	
9.2	411.9	0.5	0.5	virtual																
9.4	413.91	0.5	0.4	virtual																
10	414.91	0.4	0.5																	
11	419.94	0.5	0.4																	
11.1	420.94	0.4	0.4	virtual																
11.2	421.95	0.4	0.5	virtual																
12	424.96	0.5	0.4																	
12.1	426	0.4	0.4	virtual																
12.2	427.05	0.4	0.5	virtual																
13	430.18	0.5	0.5																	
13.4	434.36	0.5	0.4	virtual																
14	435.4	0.4	0.4																	
14.1	436.44	0.4	0.5	virtual																
14.4	439.56	0.5	0.4	virtual																
15	440.6	0.4	0.5																	
16	445.82	0.5	0.5																	
17	450.98	0.5	0.5																	
18	456.14	0.5	0.5	virtual																
Marker Name	TH01																			
3	64.92	0.5	0.5																	
4	69.44	0.5	0.5																	
5	73.88	0.5	0.5																	
5.3	77.14	0.5	0.4	virtual																
6	78.22	0.4	0.4																	
6.1	79.29	0.4	0.5	virtual																
6.3	81.44	0.5	0.4	virtual																
7	82.51	0.4	0.4																	
7.1	83.59	0.4	0.5	virtual																
7.3	85.74	0.5	0.4	virtual																
8	86.81	0.4	0.5																	
8.3	90.01	0.5	0.4	virtual																
9	91.08	0.4	0.4																	
9.1	92.14	0.4	0.5	virtual																
9.3	94.26	0.5	0.4																	
10	95.35	0.4	0.5																	
10.3	98.54	0.5	0.4	virtual																
11	99.6	0.4	0.5																	
13.3	111.64	0.5	0.5																	
Marker Name	vWA																			
10	125.46	0.5	0.5																	
11	129.76	0.5	0.5																	
12	133.9	0.5	0.5																	
13	138.05	0.5	0.5																	
14	142.23	0.5	0.5																	
15	146.4	0.5	0.5																	
15.2	148.48	0.5	0.5	virtual																
16	150.55	0.5	0.4																	
16.1	151.59	0.4	0.5	virtual																
17	154.69	0.5	0.5																	
18	158.81	0.5	0.5																	
18.2	160.86	0.5	0.4	virtual																
18.3	161.89	0.4	0.4	virtual																
19	162.91	0.4	0.5																	
20	167	0.5	0.5																	
21	171.04	0.5	0.5																	
22	175.09	0.5	0.5																	
23	179.17	0.5	0.5																	
24	183.22	0.5	0.5																	
25	187.27	0.5	0.5	virtual																
Marker Name	D21S11																			
23.2	201.69	0.5	0.4	virtual																
23.3	202.72	0.4	0.4	virtual																
24	203.74	0.4	0.5																	
24.2	205.79	0.5	0.4																	
24.3	206.79	0.4	0.4	virtual																
