Version	GMID-X v 1.0							
Chemistry Kit	PowerPlexY23_POP7_Panels_IDX_v2.0							
BinSet Name	PowerPlexY23_POP7_Bins_IDX_v2.0							
Panel Name	PowerPlexY23_POP7_IDX_v2.0							
Marker Name	DYS576							
11.3	213.81	0.5	0.4	virtual				
12	214.82	0.4	0.5					
13	218.88	0.5	0.5					
14	222.93	0.5	0.5					
15	227.03	0.5	0.5					
16	231.08	0.5	0.5					
17	235.16	0.5	0.5					
Marker Name	DYS533							
7	243.48	0.4	0.5					
8	247.56	0.5	0.5					
9	251.63	0.5	0.5					
10	255.72	0.5	0.5					
10.2	257.76	0.5	0.5	virtual				
11	259.79	0.5	0.5					
11.3	262.84	0.5	0.4	virtual				
12	263.85	0.4	0.4					
12.1	264.86	0.4	0.5	virtual				
12.3	266.88	0.5	0.4	virtual				
13	267.89	0.4	0.4					
13.1	268.91	0.4	0.5	virtual				
14	271.97	0.5	0.5					
15	275.99	0.5	0.5					
15.3	278.99	0.5	0.4	virtual				
16	279.99	0.4	0.5					
16.3	283.01	0.5	0.4	virtual				
17	284.02	0.4	0.5					
18	288.05	0.5	0.5	virtual				
Marker Name	DYS438							
5	291.3	0.4	0.5	virtual				
6	296.42	0.5	0.5					
7	301.54	0.5	0.5					
8	306.64	0.5	0.5					
8.2	308.69	0.5	0.5	virtual				
9	311.76	0.5	0.5					
9.2	313.82	0.5	0.5	virtual				
9.4	315.88	0.5	0.4	virtual				
10	316.91	0.4	0.5					
11	322.07	0.5	0.5					
11.2	324.13	0.5	0.5	virtual				
12	327.23	0.5	0.5					
13	332.43	0.5	0.5					
13.2	334.5	0.5	0.5	virtual				
14	337.61	0.5	0.4					
14.1	338.65	0.4	0.5	virtual				
15	342.8	0.5	0.5					
16	347.99	0.5	0.4					
Marker Name	DYS437							
10	349.65	0.4	0.5	virtual				
11	353.65	0.5	0.5					
12	357.65	0.5	0.4					
12.1	358.66	0.4	0.5	virtual				
13	361.67	0.5	0.4					
